                 t         prod_1         prod_2         prod_3         prod_4         prod_5
184      14.736702   10148.419357   10148.419357   10148.419357   10148.419357   10148.419357
185      14.816792   10203.275678   10203.275678   10203.275678   10203.275678   10203.275678
186      14.896883   10258.131999   10258.131999   10258.131999   10258.131999   10258.131999
187      14.976974   10312.988319   10312.988319   10312.988319   10312.988319   10312.988319
188      15.057065   10367.844640   10367.844640   10367.844640   10367.844640   10367.844640
189      15.137155   10422.700961   10422.700961   10422.700961   10422.700961   10422.700961
190      15.217246   10477.557282   10477.557282   10477.557282   10477.557282   10477.557282
191      15.297337   10532.413603   10532.413603   10532.413603   10532.413603   10532.413603
192      15.377428   10587.269924   10587.269924   10587.269924   10587.269924   10587.269924
193      15.457519   10642.126244   10642.126244   10642.126244   10642.126244   10642.126244
194      15.537609   10696.982565   10696.982565   10696.982565   10696.982565   10696.982565
195      15.617700   10751.838886   10751.838886   10751.838886   10751.838886   10751.838886
196      15.697791   10806.695207   10806.695207   10806.695207   10806.695207   10806.695207
197      15.777882   10861.551528   10861.551528   10861.551528   10861.551528   10861.551528
198      15.857972   10916.407849   10916.407849   10916.407849   10916.407849   10916.407849
199      15.938063   10971.264170   10971.264170   10971.264170   10971.264170   10971.264170
200      16.018154   11026.120490   11026.120490   11026.120490   11026.120490   11026.120490
201      16.098245   11080.976811   11080.976811   11080.976811   11080.976811   11080.976811
202      16.178335   11135.833132   11135.833132   11135.833132   11135.833132   11135.833132
203      16.258426   11190.689453   11190.689453   11190.689453   11190.689453   11190.689453
204      16.338517   11245.545774   11245.545774   11245.545774   11245.545774   11245.545774
205      16.418608   11300.402095   11300.402095   11300.402095   11300.402095   11300.402095
206      16.498699   11355.258416   11355.258416   11355.258416   11355.258416   11355.258416
207      16.578789   11410.114736   11410.114736   11410.114736   11410.114736   11410.114736
208      16.658880   11464.971057   11464.971057   11464.971057   11464.971057   11464.971057
209      16.738971   11519.827378   11519.827378   11519.827378   11519.827378   11519.827378
210      16.819062   11574.683699   11574.683699   11574.683699   11574.683699   11574.683699
211      16.899152   11629.540020   11629.540020   11629.540020   11629.540020   11629.540020
212      16.979243   11684.396341   11684.396341   11684.396341   11684.396341   11684.396341
213      17.059334   11739.252661   11739.252661   11739.252661   11739.252661   11739.252661
214      17.139425   11794.108982   11794.108982   11794.108982   11794.108982   11794.108982
215      17.219515   11848.965303   11848.965303   11848.965303   11848.965303   11848.965303
216      17.299606   11903.821624   11903.821624   11903.821624   11903.821624   11903.821624
217      17.379697   11958.677945   11958.677945   11958.677945   11958.677945   11958.677945
218      17.459788   12013.534266   12013.534266   12013.534266   12013.534266   12013.534266
219      17.539879   12068.390587   12068.390587   12068.390587   12068.390587   12068.390587
220      17.619969   12123.246907   12123.246907   12123.246907   12123.246907   12123.246907
221      17.700060   12178.103228   12178.103228   12178.103228   12178.103228   12178.103228
222      17.780151   12232.959549   12232.959549   12232.959549   12232.959549   12232.959549
223      17.860242   12287.815870   12287.815870   12287.815870   12287.815870   12287.815870
224      17.940332   12342.672191   12342.672191   12342.672191   12342.672191   12342.672191
225      18.020423   12397.528512   12397.528512   12397.528512   12397.528512   12397.528512
226      18.100514   12452.384832   12452.384832   12452.384832   12452.384832   12452.384832
227      18.180605   12507.241153   12507.241153   12507.241153   12507.241153   12507.241153
228      18.260695   12562.097474   12562.097474   12562.097474   12562.097474   12562.097474
229      18.340786   12616.953795   12616.953795   12616.953795   12616.953795   12616.953795
230      18.420877   12671.810116   12671.810116   12671.810116   12671.810116   12671.810116
231      18.500968   12726.666437   12726.666437   12726.666437   12726.666437   12726.666437
232      18.581059   12781.522758   12781.522758   12781.522758   12781.522758   12781.522758
233      18.661149   12836.379078   12836.379078   12836.379078   12836.379078   12836.379078
234      18.741240   12891.235399   12891.235399   12891.235399   12891.235399   12891.235399
235      18.821331   12946.091720   12946.091720   12946.091720   12946.091720   12946.091720
236      18.901422   13000.948041   13000.948041   13000.948041   13000.948041   13000.948041
237      18.981512   13055.804362   13055.804362   13055.804362   13055.804362   13055.804362
238      19.061603   13110.660683   13110.660683   13110.660683   13110.660683   13110.660683
239      19.141694   13165.517003   13165.517003   13165.517003   13165.517003   13165.517003
240      19.221785   13220.373324   13220.373324   13220.373324   13220.373324   13220.373324
241      19.301875   13275.229645   13275.229645   13275.229645   13275.229645   13275.229645
242      19.381966   13330.085966   13330.085966   13330.085966   13330.085966   13330.085966
243      19.462057   13384.942287   13384.942287   13384.942287   13384.942287   13384.942287
244      19.542148   13439.798608   13439.798608   13439.798608   13439.798608   13439.798608
245      19.622239   13494.654929   13494.654929   13494.654929   13494.654929   13494.654929
246      19.702329   13549.511249   13549.511249   13549.511249   13549.511249   13549.511249
247      19.782420   13604.367570   13604.367570   13604.367570   13604.367570   13604.367570
248      19.862511   13659.223891   13659.223891   13659.223891   13659.223891   13659.223891
249      19.942602   13714.080212   13714.080212   13714.080212   13714.080212   13714.080212
250      20.022692   13768.936533   13768.936533   13768.936533   13768.936533   13768.936533
251      20.102783   13823.792854   13823.792854   13823.792854   13823.792854   13823.792854
252      20.182874   13878.649175   13878.649175   13878.649175   13878.649175   13878.649175
253      20.262965   13933.505495   13933.505495   13933.505495   13933.505495   13933.505495
254      20.343055   13988.361816   13988.361816   13988.361816   13988.361816   13988.361816
255      20.423146   14043.218137   14043.218137   14043.218137   14043.218137   14043.218137
256      20.503237   14098.074458   14098.074458   14098.074458   14098.074458   14098.074458
257      20.583328   14152.930779   14152.930779   14152.930779   14152.930779   14152.930779
258      20.663419   14207.787100   14207.787100   14207.787100   14207.787100   14207.787100
259      20.743509   14262.643420   14262.643420   14262.643420   14262.643420   14262.643420
260      20.823600   14317.499741   14317.499741   14317.499741   14317.499741   14317.499741
261      20.903691   14372.356062   14372.356062   14372.356062   14372.356062   14372.356062
262      20.983782   14427.212383   14427.212383   14427.212383   14427.212383   14427.212383
263      21.063872   14482.068704   14482.068704   14482.068704   14482.068704   14482.068704
264      21.143963   14536.925025   14536.925025   14536.925025   14536.925025   14536.925025
265      21.224054   14591.781346   14591.781346   14591.781346   14591.781346   14591.781346
266      21.304145   14646.637666   14646.637666   14646.637666   14646.637666   14646.637666
267      21.384235   14701.493987   14701.493987   14701.493987   14701.493987   14701.493987
268      21.464326   14756.350308   14756.350308   14756.350308   14756.350308   14756.350308
269      21.544417   14811.206629   14811.206629   14811.206629   14811.206629   14811.206629
270      21.624508   14866.062950   14866.062950   14866.062950   14866.062950   14866.062950
271      21.704599   14920.919271   14920.919271   14920.919271   14920.919271   14920.919271
272      21.784689   14975.775591   14975.775591   14975.775591   14975.775591   14975.775591
273      21.864780   15030.631912   15030.631912   15030.631912   15030.631912   15030.631912
274      21.944871   15085.488233   15085.488233   15085.488233   15085.488233   15085.488233
275      22.024962   15140.344554   15140.344554   15140.344554   15140.344554   15140.344554
276      22.105052   15195.200875   15195.200875   15195.200875   15195.200875   15195.200875
277      22.185143   15250.057196   15250.057196   15250.057196   15250.057196   15250.057196
278      22.265234   15304.913517   15304.913517   15304.913517   15304.913517   15304.913517
279      22.345325   15359.769837   15359.769837   15359.769837   15359.769837   15359.769837
280      22.425415   15414.626158   15414.626158   15414.626158   15414.626158   15414.626158
281      22.505506   15469.482479   15469.482479   15469.482479   15469.482479   15469.482479
282      22.585597   15524.338800   15524.338800   15524.338800   15524.338800   15524.338800
283      22.665688   15579.195121   15579.195121   15579.195121   15579.195121   15579.195121
284      22.745779   15634.051442   15634.051442   15634.051442   15634.051442   15634.051442
285      22.825869   15688.907762   15688.907762   15688.907762   15688.907762   15688.907762
286      22.905960   15743.764083   15743.764083   15743.764083   15743.764083   15743.764083
287      22.986051   15798.620404   15798.620404   15798.620404   15798.620404   15798.620404
288      23.066142   15853.476725   15853.476725   15853.476725   15853.476725   15853.476725
289      23.146232   15908.333046   15908.333046   15908.333046   15908.333046   15908.333046
290      23.226323   15963.189367   15963.189367   15963.189367   15963.189367   15963.189367
291      23.306414   16018.045688   16018.045688   16018.045688   16018.045688   16018.045688
292      23.386505   16072.902008   16072.902008   16072.902008   16072.902008   16072.902008
293      23.466595   16127.758329   16127.758329   16127.758329   16127.758329   16127.758329
294      23.546686   16182.614650   16182.614650   16182.614650   16182.614650   16182.614650
295      23.626777   16237.470971   16237.470971   16237.470971   16237.470971   16237.470971
296      23.706868   16292.327292   16292.327292   16292.327292   16292.327292   16292.327292
297      23.786959   16347.183613   16347.183613   16347.183613   16347.183613   16347.183613
298      23.867049   16402.039934   16402.039934   16402.039934   16402.039934   16402.039934
299      23.947140   16456.896254   16456.896254   16456.896254   16456.896254   16456.896254
300      24.027231   16511.752575   16511.752575   16511.752575   16511.752575   16511.752575
301      24.107322   16566.608896   16566.608896   16566.608896   16566.608896   16566.608896
302      24.187412   16621.465217   16621.465217   16621.465217   16621.465217   16621.465217
303      24.267503   16676.321538   16676.321538   16676.321538   16676.321538   16676.321538
304      24.347594   16731.177859   16731.177859   16731.177859   16731.177859   16731.177859
305      24.427685   16786.034179   16786.034179   16786.034179   16786.034179   16786.034179
306      24.507775   16840.890500   16840.890500   16840.890500   16840.890500   16840.890500
307      24.587866   16895.746821   16895.746821   16895.746821   16895.746821   16895.746821
308      24.667957   16950.603142   16950.603142   16950.603142   16950.603142   16950.603142
309      24.748048   17005.459463   17005.459463   17005.459463   17005.459463   17005.459463
310      24.828139   17060.315784   17060.315784   17060.315784   17060.315784   17060.315784
311      24.908229   17115.172105   17115.172105   17115.172105   17115.172105   17115.172105
312      24.988320   17170.028425   17170.028425   17170.028425   17170.028425   17170.028425
313      25.068411   17224.884746   17224.884746   17224.884746   17224.884746   17224.884746
314      25.148502   17279.741067   17279.741067   17279.741067   17279.741067   17279.741067
315      25.228592   17334.597388   17334.597388   17334.597388   17334.597388   17334.597388
316      25.308683   17389.453709   17389.453709   17389.453709   17389.453709   17389.453709
317      25.388774   17444.310030   17444.310030   17444.310030   17444.310030   17444.310030
318      25.468865   17499.166350   17499.166350   17499.166350   17499.166350   17499.166350
319      25.548955   17554.022671   17554.022671   17554.022671   17554.022671   17554.022671
320      25.629046   17608.878992   17608.878992   17608.878992   17608.878992   17608.878992
321      25.709137   17663.735313   17663.735313   17663.735313   17663.735313   17663.735313
322      25.789228   17718.591634   17718.591634   17718.591634   17718.591634   17718.591634
323      25.869319   17773.447955   17773.447955   17773.447955   17773.447955   17773.447955
324      25.949409   17828.304276   17828.304276   17828.304276   17828.304276   17828.304276
325      26.029500   17883.160596   17883.160596   17883.160596   17883.160596   17883.160596
326      26.109591   17938.016917   17938.016917   17938.016917   17938.016917   17938.016917
327      26.189682   17992.873238   17992.873238   17992.873238   17992.873238   17992.873238
328      26.269772   18047.729559   18047.729559   18047.729559   18047.729559   18047.729559
329      26.349863   18102.585880   18102.585880   18102.585880   18102.585880   18102.585880
330      26.429954   18157.442201   18157.442201   18157.442201   18157.442201   18157.442201
331      26.510045   18212.298521   18212.298521   18212.298521   18212.298521   18212.298521
332      26.590135   18267.154842   18267.154842   18267.154842   18267.154842   18267.154842
333      26.670226   18322.011163   18322.011163   18322.011163   18322.011163   18322.011163
334      26.750317   18376.867484   18376.867484   18376.867484   18376.867484   18376.867484
335      26.830408   18431.723805   18431.723805   18431.723805   18431.723805   18431.723805
336      26.910499   18486.580126   18486.580126   18486.580126   18486.580126   18486.580126
337      26.990589   18541.436447   18541.436447   18541.436447   18541.436447   18541.436447
338      27.070680   18596.292767   18596.292767   18596.292767   18596.292767   18596.292767
339      27.150771   18651.149088   18651.149088   18651.149088   18651.149088   18651.149088
340      27.230862   18706.005409   18706.005409   18706.005409   18706.005409   18706.005409
341      27.310952   18760.861730   18760.861730   18760.861730   18760.861730   18760.861730
342      27.391043   18815.718051   18815.718051   18815.718051   18815.718051   18815.718051
343      27.471134   18870.574372   18870.574372   18870.574372   18870.574372   18870.574372
344      27.551225   18925.430693   18925.430693   18925.430693   18925.430693   18925.430693
345      27.631315   18980.287013   18980.287013   18980.287013   18980.287013   18980.287013
346      27.711406   19035.143334   19035.143334   19035.143334   19035.143334   19035.143334
347      27.791497   19089.999655   19089.999655   19089.999655   19089.999655   19089.999655
348      27.871588   19144.855976   19144.855976   19144.855976   19144.855976   19144.855976
349      27.951679   19199.712297   19199.712297   19199.712297   19199.712297   19199.712297
350      28.031769   19254.568618   19254.568618   19254.568618   19254.568618   19254.568618
351      28.111860   19309.424938   19309.424938   19309.424938   19309.424938   19309.424938
352      28.191951   19364.281259   19364.281259   19364.281259   19364.281259   19364.281259
353      28.272042   19419.137580   19419.137580   19419.137580   19419.137580   19419.137580
354      28.352132   19473.993901   19473.993901   19473.993901   19473.993901   19473.993901
355      28.432223   19528.850222   19528.850222   19528.850222   19528.850222   19528.850222
356      28.512314   19583.706543   19583.706543   19583.706543   19583.706543   19583.706543
357      28.592405   19638.562864   19638.562864   19638.562864   19638.562864   19638.562864
358      28.672495   19693.419184   19693.419184   19693.419184   19693.419184   19693.419184
359      28.752586   19748.275505   19748.275505   19748.275505   19748.275505   19748.275505
360      28.832677   19803.131826   19803.131826   19803.131826   19803.131826   19803.131826
361      28.912768   19857.988147   19857.988147   19857.988147   19857.988147   19857.988147
362      28.992859   19912.844468   19912.844468   19912.844468   19912.844468   19912.844468
363      29.072949   19967.700789   19967.700789   19967.700789   19967.700789   19967.700789
364      29.153040   20022.557109   20022.557109   20022.557109   20022.557109   20022.557109
365      29.233131   20077.413430   20077.413430   20077.413430   20077.413430   20077.413430
366      29.313222   20132.269751   20132.269751   20132.269751   20132.269751   20132.269751
367      29.393312   20187.126072   20187.126072   20187.126072   20187.126072   20187.126072
368      29.473403   20241.982393   20241.982393   20241.982393   20241.982393   20241.982393
369      29.553494   20296.838714   20296.838714   20296.838714   20296.838714   20296.838714
370      29.633585   20351.695035   20351.695035   20351.695035   20351.695035   20351.695035
371      29.713675   20406.551355   20406.551355   20406.551355   20406.551355   20406.551355
372      29.793766   20461.407676   20461.407676   20461.407676   20461.407676   20461.407676
373      29.873857   20516.263997   20516.263997   20516.263997   20516.263997   20516.263997
374      29.953948   20571.120318   20571.120318   20571.120318   20571.120318   20571.120318
375      30.034039   20625.976639   20625.976639   20625.976639   20625.976639   20625.976639
376      30.114129   20680.832960   20680.832960   20680.832960   20680.832960   20680.832960
