               t         prod_1         prod_2         prod_3         prod_4
5153  412.776611  282742.531250  282733.937500  282735.031250  282733.781250
5154  412.856720  282797.406250  282788.812500  282789.937500  282788.593750
5155  412.936829  282852.218750  282843.687500  282844.750000  282843.437500
5156  413.016907  282907.156250  282898.562500  282899.562500  282898.406250
5157  413.097015  282962.000000  282953.468750  282954.468750  282953.312500
5158  413.177124  283016.875000  283008.281250  283009.343750  283008.250000
5159  413.257233  283071.750000  283063.093750  283064.187500  283063.093750
5160  413.337341  283126.593750  283118.000000  283119.125000  283117.937500
5161  413.417450  283181.406250  283172.812500  283174.000000  283172.843750
5162  413.497559  283236.250000  283227.656250  283228.843750  283227.656250
5163  413.577637  283291.093750  283282.500000  283283.750000  283282.468750
5164  413.657745  283346.000000  283337.437500  283338.625000  283337.250000
5165  413.737854  283401.000000  283392.250000  283393.468750  283392.156250
5166  413.817963  283455.812500  283447.093750  283448.312500  283447.000000
5167  413.898071  283510.656250  283502.062500  283503.187500  283501.875000
5168  413.978180  283565.468750  283556.968750  283558.000000  283556.750000
5169  414.058289  283620.406250  283611.843750  283612.875000  283611.593750
5170  414.138367  283675.218750  283666.750000  283667.750000  283666.468750
5171  414.218475  283730.156250  283721.593750  283722.593750  283721.281250
5172  414.298584  283784.968750  283776.500000  283777.500000  283776.218750
5173  414.378693  283839.875000  283831.406250  283832.375000  283831.000000
5174  414.458801  283894.750000  283886.312500  283887.281250  283885.875000
5175  414.538910  283949.593750  283941.187500  283942.093750  283940.843750
5176  414.618988  284004.437500  283996.062500  283996.937500  283995.687500
5177  414.699097  284059.375000  284050.937500  284051.750000  284050.562500
5178  414.779205  284114.187500  284105.781250  284106.687500  284105.437500
5179  414.859314  284169.031250  284160.718750  284161.500000  284160.218750
5180  414.939423  284223.968750  284215.593750  284216.375000  284215.031250
5181  415.019531  284278.843750  284270.531250  284271.250000  284269.843750
5182  415.099640  284333.718750  284325.406250  284326.093750  284324.687500
5183  415.179718  284388.656250  284380.187500  284381.031250  284379.562500
5184  415.259827  284443.500000  284435.000000  284435.875000  284434.375000
5185  415.339935  284498.343750  284489.843750  284490.781250  284489.187500
5186  415.420044  284553.250000  284544.718750  284545.687500  284544.093750
5187  415.500153  284608.187500  284599.562500  284600.468750  284598.937500
5188  415.580261  284663.062500  284654.406250  284655.281250  284653.750000
5189  415.660370  284717.937500  284709.281250  284710.062500  284708.625000
5190  415.740448  284772.812500  284764.093750  284764.968750  284763.437500
5191  415.820557  284827.750000  284818.937500  284819.781250  284818.281250
5192  415.900665  284882.562500  284873.781250  284874.656250  284873.093750
5193  415.980774  284937.406250  284928.625000  284929.531250  284927.968750
5194  416.060883  284992.281250  284983.437500  284984.343750  284982.875000
5195  416.140991  285047.125000  285038.343750  285039.156250  285037.718750
5196  416.221100  285102.000000  285093.187500  285093.968750  285092.593750
5197  416.301178  285156.843750  285148.093750  285148.781250  285147.437500
5198  416.381287  285211.687500  285202.968750  285203.718750  285202.281250
5199  416.461395  285266.531250  285257.843750  285258.500000  285257.125000
5200  416.541504  285321.437500  285312.687500  285313.312500  285311.937500
5201  416.621613  285376.281250  285367.562500  285368.156250  285366.781250
5202  416.701721  285431.250000  285422.406250  285423.031250  285421.625000
5203  416.781799  285486.187500  285477.312500  285477.937500  285476.500000
5204  416.861908  285541.000000  285532.187500  285532.843750  285531.468750
5205  416.942017  285595.843750  285587.031250  285587.750000  285586.375000
5206  417.022125  285650.656250  285641.875000  285642.656250  285641.187500
5207  417.102234  285705.500000  285696.687500  285697.437500  285696.062500
5208  417.182343  285760.437500  285751.500000  285752.312500  285750.968750
5209  417.262451  285815.406250  285806.343750  285807.187500  285805.781250
5210  417.342529  285870.250000  285861.156250  285862.093750  285860.718750
5211  417.422638  285925.125000  285916.031250  285916.968750  285915.500000
5212  417.502747  285979.968750  285970.875000  285971.875000  285970.375000
5213  417.582855  286034.843750  286025.687500  286026.718750  286025.187500
5214  417.662964  286089.750000  286080.562500  286081.593750  286080.000000
5215  417.743073  286144.625000  286135.468750  286136.437500  286134.812500
5216  417.823181  286199.468750  286190.281250  286191.343750  286189.656250
5217  417.903259  286254.343750  286245.156250  286246.187500  286244.531250
5218  417.983368  286309.218750  286300.031250  286301.093750  286299.375000
5219  418.063477  286364.125000  286354.937500  286355.937500  286354.187500
5220  418.143585  286418.968750  286409.750000  286410.750000  286409.093750
5221  418.223694  286473.906250  286464.625000  286465.562500  286463.906250
5222  418.303802  286528.750000  286519.437500  286520.406250  286518.781250
5223  418.383911  286583.625000  286574.250000  286575.250000  286573.656250
5224  418.463989  286638.468750  286629.093750  286630.093750  286628.531250
5225  418.544098  286693.375000  286684.062500  286684.906250  286683.343750
5226  418.624207  286748.250000  286738.906250  286739.812500  286738.250000
5227  418.704315  286803.093750  286793.750000  286794.625000  286793.187500
5228  418.784424  286857.937500  286848.562500  286849.468750  286848.062500
5229  418.864532  286912.781250  286903.375000  286904.312500  286902.937500
5230  418.944641  286967.687500  286958.156250  286959.218750  286957.750000
5231  419.024719  287022.593750  287013.062500  287014.125000  287012.625000
5232  419.104828  287077.468750  287067.843750  287069.031250  287067.500000
5233  419.184937  287132.437500  287122.687500  287123.812500  287122.343750
5234  419.265045  287187.250000  287177.500000  287178.656250  287177.281250
5235  419.345154  287242.062500  287232.312500  287233.625000  287232.093750
5236  419.425262  287296.906250  287287.187500  287288.468750  287286.968750
5237  419.505341  287351.843750  287342.062500  287343.375000  287341.843750
5238  419.585449  287406.687500  287396.906250  287398.156250  287396.750000
5239  419.665558  287461.500000  287451.812500  287453.000000  287451.593750
5240  419.745667  287516.343750  287506.656250  287507.843750  287506.437500
5241  419.825775  287571.250000  287561.562500  287562.687500  287561.281250
5242  419.905884  287626.093750  287616.406250  287617.468750  287616.125000
5243  419.985992  287680.968750  287671.250000  287672.312500  287670.968750
5244  420.066071  287735.812500  287726.125000  287727.187500  287725.750000
5245  420.146179  287790.687500  287781.000000  287782.031250  287780.687500
5246  420.226288  287845.531250  287835.812500  287836.875000  287835.531250
5247  420.306396  287900.406250  287890.687500  287891.718750  287890.406250
5248  420.386505  287955.218750  287945.593750  287946.593750  287945.218750
5249  420.466614  288010.125000  288000.468750  288001.468750  288000.093750
5250  420.546722  288065.062500  288055.281250  288056.343750  288054.968750
5251  420.626801  288119.968750  288110.156250  288111.218750  288109.781250
5252  420.706909  288174.843750  288165.000000  288166.125000  288164.562500
5253  420.787018  288229.687500  288219.937500  288221.000000  288219.437500
5254  420.867126  288284.625000  288274.781250  288275.875000  288274.343750
5255  420.947235  288339.500000  288329.687500  288330.750000  288329.218750
