          x      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4           C_1           C_2           C_3           C_4
120   600.0  0.469252  206.379242  0.638953  312.308350  0.723689  610.209106  0.724366  569.963989  4.564555e-11  2.875468e+02  5.092625e+01  1.829663e-06
121   605.0  0.467894  205.050446  0.634220  307.865326  0.723554  609.260132  0.724193  569.513184  1.716421e-11  2.695637e+02  5.930899e+01  2.994522e-06
122   610.0  0.464335  203.714645  0.629114  303.617645  0.723406  608.230957  0.724211  569.062195  6.047948e-12  2.514241e+02  6.859605e+01  4.862317e-06
123   615.0  0.454463  202.361969  0.623627  299.568390  0.723247  607.113159  0.724217  568.611206  1.924423e-12  2.332689e+02  7.880132e+01  7.832892e-06
124   620.0  0.424004  200.984573  0.617741  295.719269  0.723092  605.898376  0.724171  568.160156  5.052867e-13  2.152384e+02  8.992574e+01  1.251989e-05
125   625.0  0.334841  199.743500  0.611441  292.070465  0.722900  604.575745  0.724166  567.709106  7.674056e-14  1.974700e+02  1.019545e+02  1.985624e-05
126   630.0  0.256995  198.824738  0.604712  288.620789  0.722687  603.122314  0.724127  567.257935  1.077242e-15  1.800948e+02  1.148586e+02  3.124899e-05
127   635.0  0.251013  198.089142  0.597544  285.367615  0.722419  601.517029  0.724145  566.806763  2.559950e-20  1.632357e+02  1.285930e+02  4.880441e-05
128   640.0  0.251000  197.363525  0.589932  282.306976  0.722149  599.750549  0.724066  566.355591  1.172899e-26  1.470046e+02  1.430975e+02  7.564159e-05
129   645.0  0.251000  196.637924  0.581875  279.433685  0.721859  597.814270  0.724029  565.904297  5.210361e-33  1.315004e+02  1.582964e+02  1.163585e-04
130   650.0  0.251000  195.912323  0.573414  276.741425  0.721540  595.700439  0.724099  565.452942  0.000000e+00  1.168088e+02  1.741004e+02  1.776696e-04
131   655.0  0.251000  195.186722  0.564867  274.223541  0.721200  593.402222  0.723987  565.001587  0.000000e+00  1.030031e+02  1.904079e+02  2.692666e-04
132   660.0  0.251000  194.461121  0.557329  271.859070  0.720856  590.914124  0.723950  564.550049  0.000000e+00  9.016096e+01  2.071073e+02  4.050849e-04
