          x     Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4            C_1            C_2           C_3            C_4 
141   705.0  0.471601  216.421193  0.708489  580.577257  0.725397  641.703685  0.725460  557.573647   5.096088e-05   4.870437e+02  1.178755e-04   2.585178e-22
142   710.0  0.471589  215.101110  0.707839  573.441162  0.725374  641.255510  0.725436  557.125589   3.011000e-05   4.892669e+02  1.768852e-04   5.493447e-22
143   715.0  0.471577  213.780990  0.707195  566.255149  0.725351  640.807291  0.725412  556.677487   1.765553e-05   4.910761e+02  2.636422e-04   1.159415e-21
144   720.0  0.471564  212.460835  0.706554  559.026119  0.725329  640.359029  0.725389  556.229341   1.027438e-05   4.925153e+02  3.903154e-04   2.430483e-21
145   725.0  0.471552  211.140642  0.705914  551.760224  0.725307  639.910724  0.725366  555.781152   5.933962e-06   4.936225e+02  5.740047e-04   5.060867e-21
146   730.0  0.471539  209.820412  0.705270  544.462957  0.725285  639.462377  0.725344  555.332921   3.401383e-06   4.944299e+02  8.385628e-04   1.046780e-20
147   735.0  0.471527  208.500145  0.704619  537.139251  0.725263  639.013985  0.725321  554.884648   1.935064e-06   4.949632e+02  1.217019e-03   2.150813e-20
148   740.0  0.471514  207.179839  0.703957  529.793574  0.725242  638.565550  0.725300  554.436333   1.092623e-06   4.952418e+02  1.754778e-03   4.390213e-20
149   745.0  0.471501  205.859494  0.703280  522.430040  0.725221  638.117069  0.725278  553.987978   6.123303e-07   4.952789e+02  2.513798e-03   8.902720e-20
150   750.0  0.471488  204.539111  0.702584  515.052507  0.725200  637.668540  0.725256  553.539583   3.406012e-07   4.950816e+02  3.578024e-03   1.793628e-19
151   755.0  0.471474  203.218688  0.701863  507.664682  0.725180  637.219962  0.725235  553.091148   1.880420e-07   4.946511e+02  5.060356e-03   3.590313e-19
152   760.0  0.471461  201.898225  0.701113  500.270223  0.725160  636.771329  0.725214  552.642673   1.030419e-07   4.939829e+02  7.111554e-03   7.140698e-19
153   765.0  0.471447  200.577721  0.700328  492.872831  0.725140  636.322637  0.725194  552.194160   5.604332e-08   4.930673e+02  9.931474e-03   1.411155e-18
154   770.0  0.471434  199.257177  0.699504  485.476346  0.725120  635.873878  0.725173  551.745608   3.025409e-08   4.918900e+02  1.378316e-02   2.771100e-18
155   775.0  0.471420  197.936591  0.698635  478.084830  0.725100  635.425040  0.725153  551.297019   1.621034e-08   4.904319e+02  1.901036e-02   5.407419e-18
156   780.0  0.471406  196.615963  0.697715  470.702647  0.725081  634.976111  0.725133  550.848392   8.620724e-09   4.886703e+02  2.605900e-02   1.048589e-17
157   785.0  0.471391  195.295293  0.696739  463.334536  0.725061  634.527071  0.725114  550.399728   4.550223e-09   4.865789e+02  3.550348e-02   2.020760e-17
158   790.0  0.471377  193.974581  0.695700  455.985671  0.725042  634.077895  0.725094  549.951027   2.383693e-09   4.841289e+02  4.807840e-02   3.870212e-17
159   795.0  0.471362  192.653824  0.694594  448.661716  0.725023  633.628553  0.725075  549.502290   1.239325e-09   4.812891e+02  6.471640e-02   7.366854e-17
160   800.0  0.471347  191.333024  0.693412  441.368872  0.725005  633.179001  0.725056  549.053517   6.394753e-10   4.780269e+02  8.659317e-02   1.393711e-16
161   805.0  0.471332  190.012179  0.692150  434.113903  0.724986  632.729186  0.725037  548.604709   3.274522e-10   4.743090e+02  1.151801e-01   2.620732e-16
162   810.0  0.471317  188.691290  0.690799  426.904160  0.724967  632.279040  0.725018  548.155866   1.663935e-10   4.701019e+02  1.523054e-01   4.898328e-16
163   815.0  0.471302  187.370355  0.689352  419.747591  0.724949  631.828476  0.725000  547.706988   8.390028e-11   4.653732e+02  2.002242e-01   9.100472e-16
